description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
"An elite private university, Northwestern provides students a powerhouse education in a wide range of disciplines. Students can choose from over 100 academic programs across Northwestern’s six undergraduate schools, including the McCormick School of Engineering and the world-renowned Medill School of Journalism. The university utilizes a quarter system with shorter academic terms in the fall, winter and spring, rather than traditional semesters. Students can use the summer term for research opportunities. Northwestern maintains three campuses globally: Its main campus in Evanston, IL, just north of Chicago; a graduate and professional school hub in downtown Chicago; and an overseas campus in Doha, Qatar, where students can easily study abroad. About half of students enrich their experience by studying abroad. Northwestern’s campus is rich with activities, including 400 clubs, the Big 10 Wildcats and live performances at the Wirtz Center for the Performing Arts.",11,Northwestern University,IL,25870,Urban,137200.0,-87.67874,42.04965,http://www.northwestern.edu,847-491-3741,Evanston,United States,Illinois,Midwest,1851.0,IL,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,25870,9827,61176584.0,66.0,61.0
"Rice is a private research institution in Houston’s Museum District that prides itself on a 6:1 student-faculty ratio, providing a close-knit undergraduate education. <br>The university offers 74 undergraduate programs across seven schools. There are also more than 45 research centers, institutes and consortia, where over half of students participate in research. <br>Rice has a strong relationship with NASA. Fourteen alumni and faculty members have served as astronauts, and the current NASA administrator, Jim Bridenstine, graduated from Rice. Other alumni include billionaire venture capitalist John Doerr and former U.S. attorney general Alberto Gonzalez. <br>Rice’s endowment fund was valued at $6.2 billion in 2020, and the school is able to give enough in financial aid and scholarships that 75% of students graduate debt-free.",12,Rice University,TX,8005,Urban,148100.0,-95.369784,29.76045,http://www.rice.edu,713-348-0000,Houston,United States,Texas,South,1891.0,TX,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,8005,4421,27486883.0,70.0,60.0
"Vanderbilt University in Nashville, TN, offers 70 undergraduate majors across five schools, most notably in economics, computer science and biological studies. The university offers interdisciplinary and research centers for health care, the humanities, engineering and public policy, making it a top research institution in the south. <br>The campus spans 330 acres in downtown Nashville. <br>Students can participate in over 500 clubs and organizations which include cultural groups, 25 fraternities and sororities and more than 30 club sports. Upperclassmen who live on-campus may live in the community-oriented residential college system, which places students in collaborative colleges, each with their own governing council and faculty head. <br>Vanderbilt alumni include members of Congress, governors and U.S. ambassadors, as well as Grameen Bank founder Muhummad Yunus and best-selling author James Paterson. <br>The school has need-blind admissions for U.S. citizens and eligible noncitizens and meets 100% of demonstrated financial need. Vanderbilt offers about 250 full-tuition merit scholarships for first-year students.",13,Vanderbilt University,TN,13918,Urban,137300.0,-86.801456,36.150323,http://www.vanderbilt.edu,(615) 322-7311,Nashville,United States,Tennessee,South,1873.0,TN,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,13918,6998,47391010.0,67.0,62.0
"The smallest Ivy League school, Dartmouth College has educated some of America’s brightest in rural Hanover, NH since 1769. <br>Dartmouth adheres to a unique calendar of four 10-week terms, allowing students flexibility to take classes, pursue research, internship or study abroad. After completing their second year at Dartmouth, students remain in Hanover for “Sophomore Summer,” where they take classes and overrun the campus. <br>The school’s rural setting offers students  opportunities to enjoy the outdoors in New England: The Appalachian Trail runs through campus, and the school owns a ski hill 14 miles from campus. <br>The Dartmouth is the oldest college newspaper in the country, dating back to 1799. Extracurricular life is bustling at Dartmouth, including a rich tradition of Greek life—the movie Animal House is even based on a Dartmouth fraternity. <br>Some famous alums from Dartmouth include writer Theodor Geisel (Dr. Seuss), poet Robert Frost, Fred Rogers of Mr. Rogers’ Neighborhood and comedian Mindy Kaling. ",14,Dartmouth College,NH,7171,Rural,161300.0,-72.289499,43.700465,http://www.dartmouth.edu,(603) 646-1110,Hanover,United States,New Hampshire,Northeast,1769.0,NH,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,7171,4885,27997693.0,58.0,45.0
"Founded in 1636 in Cambridge, Massachusetts, Harvard University is the oldest institution of higher learning in the U.S., and has long been the gold standard of American education. <br>After spending their first year in dormitories on Harvard Yard, students are placed in one of 12 on-campus residential houses, each featuring its own dining halls, intramural sport teams and unique traditions. <br>Harvard is home to many distinguished academics, including Nobel laureates William Kaelin and Michael Kremer, and Pulitzer Prize winners like historian Stephen Greenblatt and essayist Louis Menand. <br>Despite its $51,904 annual tuition, financial aid at Harvard is abundant. Families with household income below $65,000 are not expected to make a contribution. <br>Harvard graduates range from Academy Award winners to Supreme Court justices, but some of its most successful alumni are dropouts like Bill Gates and Mark Zuckerberg. ",15,Harvard University,MA,41024,Urban,169000.0,-71.112957,42.374699,http://www.harvard.edu,617-495-1000,Cambridge,United States,Massachusetts,Northeast,1636.0,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,41024,14431,54635593.0,72.0,57.0
"Set on a hill overlooking Ithaca, NY, Cornell is a midsize, private Ivy League university that prides itself on providing students research opportunities through its 100-plus research centers and labs. <br>Cornell opened a new school of public policy in 2020, joining the university’s other seven undergraduate colleges. There are approximately 80 undergraduate majors and 120 minors at Cornell, with standout programs in agriculture, STEM and hotel administration. <br>The university’s campus is full of places to explore, like the Cornell Dairy Bar, which serves ice cream made with milk from the school’s Veterinary College, and hundreds of miles of hiking trails and gorges. Students can relax on Libe Slope and listen to student chime masters play songs in the iconic McGraw Tower. <br>Notable alumni include former Supreme Court Justice Ruth Bader Ginsburg, television personality Bill Nye and author Toni Morrison.",16,Cornell University,NY,24594,Urban,148200.0,-76.48451,42.453558,http://www.cornell.edu,(607) 254-4636,Ithaca,United States,New York,Northeast,1865.0,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,24594,15396,70971547.0,59.0,47.0
"The University of California, San Diego is a large public research institution in La Jolla, CA, just steps from the beach. <br>UC San Diego received more than $1.4 billion in research funding last year, giving the school one of the most well-funded research programs in the country. <br>Students can choose from more than 130 majors, but more than a fifth of undergraduates opt to major in Biology, the most popular major on campus. <br>Sustainability is big at UC San Diego. The school has over three dozen LEED-certified buildings, an expansive solar power grid and a campus vehicle fleet consisting mostly of alternative fuel vehicles. <br>Undergraduate researchers from UC San Diego see success after graduation:. Notable alumni include DJ Patil, former White House chief data scientist, astronaut Kate Rubins, and National Medal of Science honoree J. Craig Venter. ",17,"University of California, San Diego",CA,40547,Urban,143500.0,-117.237726,32.87271,http://www.ucsd.edu,(858) 534-2230,La Jolla,United States,California,West,1960.0,CA,Public,Doctoral Universities: Very High Research Activity,19,40547,32252,60461843.0,60.0,54.0
"Johns Hopkins University is one of the nation’s oldest research institutions, located in an iconic red-brick campus in Baltimore. <br>Research is at the core of Johns Hopkins, and its faculty and alumni have made groundbreaking discoveries in everything from surgical innovations to water purification. <br>While it may be most famous for its pre-med, science and engineering programs, students at Johns Hopkins can choose from more than 50 majors, including music degrees from the school’s conservatory, the Peabody Institute. <br>Billionaire alumnus Michael Bloomberg gave a record $1.8 billion gift in 2018, allowing the school to bolster its financial aid program and meet all demonstrated need without loans. <br>Other notable alumni include President Woodrow Wilson, journalist Wolf Blitzer and billionaire media magnate John Malone. ",18,Johns Hopkins University,MD,34250,Urban,138700.0,-76.609604,39.290555,http://www.jhu.edu,,Baltimore,United States,Maryland,,1876.0,,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,34250,8394,41160533.0,65.0,57.0
"Brown University is a midsize Ivy League university located in the heart of Providence, RI, famous for its progressive, unconventional atmosphere. <br>Brown’s signature “Open Curriculum” allows students to freely pick their academic path, with concentrations (the equivalent of a major at other schools) spanning from Applied Mathematics to Archaeology and the Ancient World. <br>All financial aid comes in the form of the “Brown Promise,” generous grants—not loans—that meet all demonstrated financial need. <br>Many Brown alumni uphold the school’s traditional strengths in the liberal arts, including notable graduates like CNN founder Ted Turner and actress Emma Watson. <br>Students are only supposed to walk through the brick and iron Van Wickle Gates upon convocation and graduation. Otherwise legend holds that bad luck will befall an offending student. ",19,Brown University,RI,10807,Urban,153100.0,-71.449747,41.858184,http://www.brown.edu,401.863.1000,Providence,United States,Rhode Island,Northeast,1764.0,RI,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,10807,7553,36177528.0,55.0,44.0
"The University of Chicago is an elite urban research university tucked away in Chicago’s Hyde Park neighborhood. <br>UChicago’s broad core curriculum has been in place since the 1920s, and aims to teach students “how, not what, to think.” It requires coursework in the humanities, social and physical sciences, and a sequence in the historical development of a civilization. <br>Research opportunities are plentiful. The school operates the Argonne National Laboratory in DuPage, Illinois, and the Fermi National Accelerator Laboratory for the Department of Energy. It’s also at the cutting edge of economics research, and has several Nobel Prize winners on faculty. <br>Beginning with the Class of 2023, students whose families make less than $125,000 annually will have free tuition thanks to the UChicago Empower program. <br>Notable UChicago alumni include Senator Bernie Sanders, pioneering economist Milton Friedman and billionaire David Rubinstein. ",20,University of Chicago,IL,20413,Urban,136600.0,-87.601242,41.790203,http://www.uchicago.edu,773-702-8650,Chicago,United States,Illinois,Midwest,1890.0,IL,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,20413,8204,40317227.0,57.0,52.0
"The University of Southern California’s proximity to downtown Los Angeles makes it a prime location for students in business, communications, engineering and performing arts. Students are encouraged to combine different fields of study within 23 distinct schools. <br>Undergraduate students make up less than half of the student body, and 22% of the student population is international. In 2020, 22% of freshmen were first-generation college students. <br>USC has over 1,000 registered student organizations for social life, professional development and campus events. The Spirit of Troy is the only student marching band to win two platinum records. <br>The university has produced many film and television stars such as actors Miranda Cosgrove and Will Ferrell, and filmmaker George Lucas. Other alumni include former NFL running back Reggie Bush and singer-songwriter Macy Gray. <br>Two-thirds of first-year students receive financial aid and 21% receive a merit-based scholarship. Admissions is need-blind.",21,University of Southern California,CA,52376,Urban,139100.0,-118.282761,34.019231,http://www.usc.edu,(213) 740-2311,Los Angeles,United States,California,West,1880.0,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,52376,21757,77361905.0,70.0,65.0
"This private Jesuit research institution in Washington, D.C., is home to the Walsh School of Foreign Service, the oldest school in the U.S. for international affairs, and the prestigious McDonough School of Business. Georgetown offers 62 majors among its schools. <br>The undergraduate campus sits over the Potomac River and is often referred to as “the hilltop.” <br>A long list of major political figures graduated from Georgetown, including President Bill Clinton, the late Supreme Court Justice Antonin Scalia and former president of the Philippines Gloria Macapagal Arroyo. Other notable alumni include investor Chris Sacca and actor Bradley Cooper. <br>The Hoyas compete in 24 varsity Division I teams. The men’s basketball team, currently coached by former student and NBA star Patrick Ewing, has had 31 NCAA tournament appearances. <br>Georgetown University is need-blind for student applicants regardless of their immigration status or citizenship.",22,Georgetown University,DC,22720,Urban,156000.0,-77.028999,38.899101,http://www.georgetown.edu,202-687-0100,Washington,United States,District of Columbia,Northeast,1789.0,DC,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,22720,8330,31716749.0,54.0,44.0
"The second-oldest member of the University of California system, UC Davis is a large public university in the Sacramento Valley. <br>UC Davis received $941 million in research funding last year. Half of undergraduates conduct research or do creative projects, many for capstone projects which are often published. <br>There are more than 100 majors at UC Davis, ranging from Chicana/Chicano Studies to Wildlife, Fish and Conservation Biology. <br>The school’s residential halls compete in an annual Energy and Water Challenge as part of UC Davis’ many sustainability efforts. The university also supports a 100 acre arboretum, a sustainable, student-run farm and cutting edge research into climate change. <br>Notable UC Davis alumni include comedian Hasan Minhaj and astronauts Stephen Robinson and Tracy Caldwell Dyson.",23,"University of California, Davis",CA,41236,Suburban,134800.0,-121.747976,38.540631,http://www.ucdavis.edu,(530) 752-1011,Davis,United States,California,West,1908.0,CA,Public,Doctoral Universities: Very High Research Activity,20,41236,33181,72219528.0,74.0,66.0
"A top liberal arts school, Amherst is located in the college town of Amherst, MA. The school is a member of the cooperative 5 College Consortium along with the nearby Smith College, Hampshire College, Mt. Holyoke College and the University of Massachusetts, Amherst. <br>Amherst may be small in size, but not in resources. The school operates an art museum, natural history museum, planetarium, and a museum dedicated to local poet Emily Dickinson. <br>The school’s picturesque 500-acre wildlife sanctuary is used for research and recreation purposes, featuring trails, fields and several bodies of water. <br>The Powerhouse, a converted steam plant, serves as a hub of on-campus social life, hosting pub nights, acapella concerts and movie screenings. <br>Notable alumni include President Calvin Coolidge, Albert II, Prince of Monaco, and authors David Foster Wallace and Dan Brown. ",24,Amherst College,MA,1940,Suburban,148700.0,-72.533204,42.370772,http://https://www.amherst.edu,413-542-2000,Amherst,United States,Massachusetts,Northeast,1821.0,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,1940,1940,15522081.0,65.0,57.0
"One of the “public Ivies,” the University of Michigan, Ann Arbor, is a large research university that provides rigorous academics and a vibrant campus culture. <br>Michigan offers more than 280 degree programs across 14 undergraduate colleges and schools, with popular programs in STEM, social sciences and business. The university also offers first year students the opportunity to join small-scale learning communities for a smaller college feel. <br>A dominant force in college athletics, the university has 29 NCAA Division I teams. The Wolverines boast more than 50 national championships, and students crowd into Michigan Stadium, known as “The Big House,” to cheer on the 11-time national title football team. <br>The majority of students hail from Michigan, and residents whose families have an income below $65,000 can attend the university for free. <br>Notable alumni include former Twitter CEO Dick Costolo, billionaire and Google cofounder Larry Page, former U.S. President Gerald Ford and NFL player Tom Brady.",25,"University of Michigan, Ann Arbor",MI,49530,Urban,129600.0,-83.748479,42.281875,http://www.umich.edu,(734) 764-1817,Ann Arbor,United States,Michigan,Midwest,1817.0,MI,Public,Doctoral Universities: Very High Research Activity,11,49530,32146,81552786.0,66.0,56.0
"The University of Florida is a large public research university in Gainesville, FL. The school’s immense campus houses more than 900 buildings and spans over 2,000 acres. <br>UF athletic teams compete in the Southeastern Conference, and the Gators have won 42 national championships. The football stadium, known as “The Swamp,” can hold a whooping 88,548 spectators. <br>UF’s inventive spirit is bolstered with research centers for regenerative health biotechnology and particle engineering. Gatorade was invented at the university and was named for the school’s sports teams. <br>Alumni can be found in outer space, capital buildings and the football field: UF counts astronauts, 10 Florida governors and two NFL Hall of Famers among its alumni. ",26,University of Florida,FL,58857,Urban,117300.0,-82.323184,29.65195,http://www.ufl.edu,,Gainesville,United States,Florida,,1853.0,,Public,Doctoral Universities: Very High Research Activity,17,58857,37975,69127340.0,91.0,89.0
"A private research university, Washington University in St. Louis is one of the oldest and most prestigious institutions in the Midwest. <br>Wash attracts students from more than 100 countries, and 65% of students travel more than 500 miles to attend the school. <br>Students can learn from some of the best and brightest. The school counts 4 Pulitzer Prize winners and national 3 Poet Laureates. Chemistry and Medicine faculty have recently been awarded Nobel Prizes. <br>The 1904 Olympics, North America’s first Olympic games, were held on Washington University’s campus. A massive Olympic Rings sculpture was installed on campus in 2018 to commemorate the occasion. <br>Some of the most popular destination companies for the Class of 2020 were Amazon, Teach for America, and local businesses giant Anheuser-Busch. ",27,Washington University in St. Louis,MO,17893,Suburban,136000.0,-90.301291,38.647812,http://www.wustl.edu,(314) 935-5000,St. Louis,United States,Missouri,Midwest,1853.0,MO,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,17893,8909,39741443.0,54.0,46.0
"One of the “Public Ivies”, UNC-Chapel Hill is a public research institution known for its acclaimed academic programs and lively sports fans. The university offers 74 bachelor’s degrees—notably in political science, biology and psychology—through the College of Arts & Sciences and 13 professional schools. <br>Along with North Carolina State University and Duke University, UNC-Chapel Hill is part of the “Research Triangle,” whose students are known for their research and entrepreneurship. <br>The university’s startup accelerator, “Launch Chapel Hill,” has supported over 150 companies since 2013, 98 of which are still active. <br>The Tar Heels men’s basketball team has made 51 NCAA Basketball Tournament appearances and won six championships. The university has 26 Division 1 sports teams and 48 club sports. <br>About 60% of students graduate debt-free. Nearly 700 students are part of UNC-Chapel Hill’s Covenant Scholars, which promises debt-free financial aid for students with the greatest need.",28,"University of North Carolina, Chapel Hill",NC,32160,Urban,111000.0,-79.056619,35.914639,http://www.unc.edu,(919) 962-2211,Chapel Hill,United States,North Carolina,South,1789.0,NC,Public,Doctoral Universities: Very High Research Activity,13,32160,20215,31001894.0,64.0,43.0
"This public research university of Charlottesville, VA, was established by Thomas Jefferson over two centuries ago. The campus, commonly known as “The Grounds,” has received praise for its Jeffersonian architecture. <br>Students have 73 different majors to choose from across eight undergraduate schools, three professional schools and the satellite College at Wise. The university offers many undergraduate research programs, awards and summer programs.<br>Students participate in more than 800 clubs and organizations, community service opportunities, and 62 Greek life chapters. The university is also home to numerous secret societies. <br>About 70% of students are Virginia residents. The Jefferson Scholars Program and the Walentas Scholars Program are awarded to outstanding undergraduate students and cover the full cost of attendance for four years. <br>Notable alumni include Reddit co-founder Alexis Ohanian, journalist Katie Couric and actor Tina Fey.",29,University of Virginia,VA,29237,Suburban,137300.0,-78.581033,38.078711,http://www.virginia.edu,(434) 924-0211,Charlottesville,United States,Virginia,South,1819.0,VA,Public,Doctoral Universities: Very High Research Activity,15,29237,19253,34787367.0,60.0,39.0
"University of California, Irvine is a top public research institution in Irvine, CA. The campus buildings form a ring around historic Aldrich Park. <br>UC Irvine offers more than 70 majors, its most popular in biology, economics and social psychology. <br>Students can get involved in more than 600 clubs and organizations on campus, ranging from environmental activism to the fine arts. UC Irvine also has robust Greek life, and houses more than 40 fraternity and sorority chapters. <br>All undergraduate students are encouraged to conduct research or creative projects alongside faculty. UC Irvine is also home to the Blum Center for Poverty Alleviation, which gives students the opportunity to join immersive service programs and start community research projects. <br>About 75% of students receive financial aid. UC Irvine provides a variety of scholarships for entrepreneurship, community leadership and academic achievement, as well as the Regents’ Scholarship for freshmen with high academic standing.",30,"University of California, Irvine",CA,39059,Urban,137700.0,-117.825348,33.686887,http://www.uci.edu,949-824-5011,Irvine,United States,California,West,1965.0,CA,Public,Doctoral Universities: Very High Research Activity,18,39059,32111,83362561.0,74.0,73.0
"A southern academic powerhouse, Emory is a midsize private research university in Atlanta. <br>Emory’s 600-acre Atlanta campus is characterized by wide, grassy quads and buildings done in a distinctive Italian Renaissance style. <br>Students at Emory have many opportunities for research. In 2020, the school awarded $831 million in research funding, with 55% of undergraduates participating. <br>Recently, Emory dedicated significant resources to fighting Covid. The university received the third-most funding from the National Institute of Health of all American universities. <br>Emory alumni include designer Kenneth Cole and Bernice King, daughter of Martin Luther King Jr.",31,Emory University,GA,15970,Urban,133400.0,-84.325741,33.789755,http://www.emory.edu,404-727-6123,Atlanta,United States,Georgia,South,1836.0,GA,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,15970,8006,34494686.0,58.0,53.0
